Malzeme Kodu;Müşteri Malzeme Adı;Birim Satış Fiyat;Birim Maliyet Fiyat;Kur;Ornet Malzeme Adı;;;;;;
ORN0075;"DS-7688WRT-L1 8 Kanal 1080p H.265 Pro+ DVR Kayıt Cihazı
8 kanal DVR, H.265, H.265+ sıkıştırma, 1 adet 10 Tb disk desteği, Bnc Videoçıkışı, 1080p lite, 1 HDMI 1080, 1 VGA 1080P, 2 adet USB, 1 Kanal ses giriş,çıkış, 12V DC";$134,00;$45,00;USD;"DS-7108HGHI-K1 8 Kanal 1080p H.265 Pro+ DVR Kayıt Cihazı
8 kanal DVR, H.265, H.265+ sıkıştırma, 1 adet 10 Tb disk desteği, Bnc Videoçıkışı, 1080p lite, 1 HDMI 1080, 1 VGA 1080P, 2 adet USB, 1 Kanal ses giriş,çıkış, 12V DC";;;;;;
ORN0076;"DS-7616WRT-L1 16 Kanal HD-TVI Kayıt Cihazı (1080p Lite)
H.265 Pro+/H.265 Pro/H.265/H.264+/H.264, 1080p lite/720p lite/WD1/4CIF/VGA@15 fps; CIF@25 fps (P)/30 fps (N),720p/WD1/4CIF/VGA@15 fps; CIF@ 25fps (P)/30 fps (N) , CVBS giriş desteği, 1xSes girişi, Çift Yönlü Ses desteği, 11-ch, 1920 × 1080/60Hz, 1280 × 1024/60Hz, 1280 × 720/60Hz, 1024 × 768/60Hz HDMI/VGA, 1xSATA (10TB), 2xUSB2.0, 18 kanala kadar 5MP IP kamera desteği";$182,00;$75,00;USD;"DS-7116HGHI-K1 16 Kanal HD-TVI Kayıt Cihazı (1080p Lite)
H.265 Pro+/H.265 Pro/H.265/H.264+/H.264, 1080p lite/720p lite/WD1/4CIF/VGA@15 fps; CIF@25 fps (P)/30 fps (N),720p/WD1/4CIF/VGA@15 fps; CIF@ 25fps (P)/30 fps (N) , CVBS giriş desteği, 1xSes girişi, Çift Yönlü Ses desteği, 11-ch, 1920 × 1080/60Hz, 1280 × 1024/60Hz, 1280 × 720/60Hz, 1024 × 768/60Hz HDMI/VGA, 1xSATA (10TB), 2xUSB2.0, 18 kanala kadar 5MP IP kamera desteği";;;;;;
ORN0077;"DS-7994WT-M4/UHK 64 Kanal NVR (4 SATA, H.265+)
İkili işletim sistemi, ANR desteği, H.265/H.265+/H.264/H.264+/MPEG4, 8MP'e kadar çözünürlük desteği, çift yönlü ses desteği, Kayıt/İzleme bant genişliği: 256Mbps/160Mbps, 1xHDMI (4K), 1xVGA (FullHD), (HDMI ve VGA birbirinden bağımsız çalışabilir), Ses çıkışı, kayıttan oynatma: 16 kanal (aynı anda), 4xSATA desteği (~16TB)";1116;558;USD;DS-7764NI-M4 64 Kanal H.265+ 4xSata NVR;;;;;;
ORN0078;"DS-7632WRT-L2 - İDS-7632WQRT-L2/S 32 Kanal HD-TVI Kayıt Cihazı ( H.265 Pro+) 
Dual stream,H.265 pro+ desteği, Çift yönlü ses desteği, 1xRJ45 10/100/1000Mbps, 8 Kanal HDTVI 3K kamera desteği, Real time 1080p kayıt çözünürlüğü, AHD, 4MP/HDCVI 4MP kamera desteği, HDMI 4K&VGA, 1xUSB 2.0,1xUSB 3.0, 8 kanal 6MP IP kamera kaydı, 2xSATA portu (Her port maks. 10TB destekler), HDTVI, CVBS, AHD, HDCVI kamera desteği,(4 kanal İnsan & Araç analiz desteği)(Her kanal için coaxial kablo üzerinden ses taşıma)";$182,00;$392,00;USD;DS-7232HGHI-K2 - İDS-7232HQHI-M2/S 32 Kanal HD-TVI Kayıt Cihazı ( H.265 Pro+) Dual stream,H.265 pro+ desteği, Çift yönlü ses desteği, 1xRJ45 10/100/1000Mbps, 8 Kanal HDTVI 3K kamera desteği, Real time 1080p kayıt çözünürlüğü, AHD, 4MP/HDCVI 4MP kamera desteği, HDMI 4K&VGA, 1xUSB 2.0,1xUSB 3.0, 8 kanal 6MP IP kamera kaydı, 2xSATA portu (Her port maks. 10TB destekler), HDTVI, CVBS, AHD, HDCVI kamera desteği,(4 kanal İnsan & Araç analiz desteği)(Her kanal için coaxial kablo üzerinden ses taşıma);;;;;;
ORN0079;"DS-2CT547R57-IPF İç Ortam 2MP Mini IR Dome Kamera
2MP CMOS sensör, 0.02 Lux/F1.2, 0 lux (IR Açık), 2.8mm Lens, ICR, DWDR, AGC, beyaz dengesi, BLC, 2D DNR, aynalama, 20m Akıllı IR, IP66, TVI/AHD/CVI/CVBS uyumluluk, 12V DC.";$42,00;$13,00;USD;"DS-2CE76D0T-EXIPF İç Ortam 2MP Mini IR Dome Kamera
2MP CMOS sensör, 0.02 Lux/F1.2, 0 lux (IR Açık), 2.8mm Lens, ICR, DWDR, AGC, beyaz dengesi, BLC, 2D DNR, aynalama, 20m Akıllı IR, IP66, TVI/AHD/CVI/CVBS uyumluluk, 12V DC.";;;;;;
ORN0080;"DS-2CR589T57-IPF Harici 1080p IR Bullet Kamera
2MP CMOS sensör, 1080p çözünürlük, 0,01 lux, 3.6mm lens, ICR, 1x Analog HD çıkış, 20mt Smart IR, IP66, 12VDC, TVI/AHD/CVI/CVBS desteği";$44,00;$13,00;USD;"DS-2CE16D0T-EXIPF Harici 1080p IR Bullet Kamera
2MP CMOS sensör, 1080p çözünürlük, 0,01 lux, 3.6mm lens, ICR, 1x Analog HD çıkış, 20mt Smart IR, IP66, 12VDC, TVI/AHD/CVI/CVBS desteği";;;;;;
ORN0081;Kamera Power Jack;$0,35;$0,15;USD;;;;;;;
ORN0082;BNC Konnektör;$0,55;$0,35;USD;;;;;;;
ORN0083;4+1 CCTV Kablo ;$0,68;$0,20;USD;;;;;;;
ORN0084;RG6-U4 CCTV Kablo;$0,84;$0,45;USD;;;;;;;
ORN0085;3x1,5 TTR Kablo;$1,10;$0,45;USD;;;;;;;
ORN0086;Dummy Box Harici Siren;26;12;USD;;;;;;;
ORN0087;HIKVISION DS-2CD5846IZSU 4MP Motorize Lens Smart Hybrid Kamera;156;78,4;USD;HIKVISION DS-2CD1743G2-LIZSU 4MP 2.8-12MM MOTORIZE LENS 30 METRE SMART HYBRID DAHİLİ MİKROFON IK08 IP DOME KAMERA;;;;;;
ORN0088;Switchmode Güç Kaynağı 12V 2A;14;3;USD;;;;;;;
ORN0089;Buton (Yangın İhbar);16;4;USD;;;;;;;
ORN0090;CAT 6 Polietilen Data KAblo (halojen free);1,2;0,38;USD;;;;;;;
ORN0091;Dahili Siren;14;7;USD;;;;;;;
ORN0092;Dedektör Tabanı;3,2;1,3;USD;;;;;;;
ORN0093;DS-2CD3214W0-RTG 2 MP IP IR Turret Kamera;108;36;USD;"DS-2CD2121G0-I(W)(S)
2 MP IR Fixed Dome Network Camera";;;;;;
ORN0094;Flaşörlü Yangın Sireni;22;10,24;USD;;;;;;;
ORN0095;J-Y(St)Y 1x2x0.8+0.8 Yangın Kablosu;1,3;0,35;USD;;;;;;;
ORN0096;Manyetik Kontak;11;2;USD;;;;;;;
ORN0097;Mekanik Kilit;;;USD;;;;;;;
ORN0098;Rack Dolabı;81;40;USD;;;;;;;
ORN0099;Reyee RG-ES228GS-P 28 Portlu, 10/100/1000 Gigabit, Yönetilebilir Switch, 2 SFP, 2 Gigabit RJ45 Uplink 24 Port PoE + (370W);414;320;USD;;;;;;;
ORN0100;Servis ve devreye alma hizmeti;160;80;USD;;;;;;;
ORN0101;TL-SG4110P JetStream 10-Port Gigabit Smart Switch with 8-Port PoE + 1500W;212;123,21;USD;TL-SG4110P JetStream 10-Port Gigabit Smart Switch with 8-Port PoE+ 150W;;;;;;
ORN0102;Yangın İhbar Paneli (4 Bölge);156;74,56;USD;;;;;;;
ORN0103;Yangın Alarm Paneli;162;74,56;USD;;;;;;;
ORN0104;"DC232 Konvansiyonel Optik Duman ve Isı Dedektörü
Foto-elektrik algılama hücresi, Mikro işlemci kontrollü hatasız algılama
algoritması, 10 saniyede bir yeşil flaşlı çalışma göstergesi, Çift taraflı ışık
yolu indikatör, Led indikatör çıkışı, EN54-7 sertifikasına sahip . Çap:
10cm Yükseklik:4,4cm Ağırlık: 90 gr.";30;6,4;USD;;;;;;;
ORN0105;"CK312 Resetlenebilir Yangın İhbar Butonu
Mikroişlemci tabanlı tasarım, Led İndikatör, Anahtar ile Resetlenebilir,
EN54-11 standardına uygun.
Boyutlar: 8,5x8,5x5,5cm Ağırlık: 150 gr.";14;6,4;USD;;;;;;;
